,RMSE_MEAN
0.85,-285.69619890587506
0.75,-286.2177201079379
0.65,-287.97191511378514
0.8,-288.7177149995725
0.9,-289.64146427884424
0.95,-290.2667670711827
0.7,-290.4381443070869
0.6,-293.8000862075515
0.55,-294.8870600277627
0.5,-299.7852963488629
0.45,-312.0353200546261
0.4,-314.1537736609132
0.25,-331.39639076609825
0.3,-333.32813948330283
0.35,-348.58672387107237
0.2,-364.91119386450424
0.1,-385.9072050387047
0.15,-386.5027865250235
