,RMSE_MEAN
0.9,-308.10085274807926
0.6,-308.33537446198636
0.55,-310.9540046104433
0.45,-311.17575897155047
0.4,-313.53877749148836
0.65,-314.4778346158178
0.85,-316.0562879012815
0.5,-319.5641120312338
0.7,-320.70253823486956
0.35,-321.03780356134735
0.3,-322.15453749560703
0.25,-327.2452967378695
0.2,-343.3075318600463
0.95,-344.545147251315
0.15,-351.73278087942657
0.1,-353.261684261977
0.8,-461.7423574511936
0.75,-483.9847924625613
