,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone5,-103.79109218413831,29.746170930778305,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2708>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone10,-107.19376146126876,20.901279186462006,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27EA408>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-112.11383659415851,34.611970320369004,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28ABB48>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone5,-118.58539506920211,32.04436866162478,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820F08>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-119.18271217456474,22.395812383195405,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F30C8>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor10,-121.05300422198859,21.20797946161725,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28AB548>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor5,-122.10717695772068,32.66037337917939,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27E7388>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor5,-122.30857554706424,33.11567077531813,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BC488>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-126.46748217643251,46.01849723696373,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892E08>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-128.78881864524496,46.61231008591893,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C1E88>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor10,-129.3326048264033,28.22104966171117,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F548>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-139.1361322686817,66.14463779611076,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4F48>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone5,-141.76530761200274,51.98539546572727,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4A88>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model LinearRegression,-142.27330625268965,74.82662594464934,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897C08>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model LinearRegression,-146.60014033365684,48.78488777380901,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282ED08>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model LinearRegression,-148.20733415424115,47.64851055148049,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BACC8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model LinearRegression,-148.41753286746135,47.99962600125889,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E408>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-149.72335520141877,48.28879871461498,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883B08>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor5,-149.82945966913283,48.4673654330063,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820508>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-151.23488609111382,36.94919540350263,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896188>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-152.76441731270026,50.24131443137936,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2388>
