,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone5,-1.2065175458603645,0.2507758649782637,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4188>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone5,-1.2154090865360936,0.2118547562156372,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897888>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone5,-1.2174255512925314,0.31628357891171427,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C1C88>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor5,-1.2323625468074917,0.2686345701743614,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C1C08>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor5,-1.2399023363107031,0.1923078643657259,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6B48>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model DecisionTreeRegressor10,-1.242647176365677,0.23573251463540734,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4E48>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone5,-1.2498242291640576,0.2688534444859706,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28ABD48>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone10,-1.265784506415201,0.29207695142719625,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28CA408>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone10,-1.2802210655006518,0.1879326201751172,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2A88>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone5,-1.2819105501533354,0.42131890059782356,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28CA348>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor5,-1.2832073264190447,0.2884194383686205,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C32C8>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor5,-1.290347854861254,0.23523536347106422,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E708>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-1.2910018652337663,0.20076014611619386,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BAF88>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone10,-1.2973628694420096,0.24721055494556698,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E248>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor5,-1.3150039765214518,0.24493449593064737,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BCCC8>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone10,-1.3152908404642174,0.357326974634052,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2897F48>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-1.3185201453490447,0.3835291761349518,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B26C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model RandomForestRegressorNone5,-1.334641207484092,0.24414857023986883,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C6108>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor5,-1.338853827896235,0.1887319352083737,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818808>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model RandomForestRegressorNone10,-1.3457680518933524,0.27662389543833366,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28CA2C8>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor10,-1.3490842259810607,0.18993634119833802,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2813AC8>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor5,-1.3783830703752207,0.2340924861007683,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F2248>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone5,-1.3806188437566798,0.2771995888329629,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289C688>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor5,-1.382029554423044,0.35517956415825247,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28C4E08>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor10,-1.520507729329108,0.279941776158744,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CC08>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model DecisionTreeRegressor10,-1.5245652205183893,0.20435194576928642,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4A08>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor10,-1.5515272540288667,0.2986222270624709,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2889648>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor10,-1.580863350133178,0.297948128392518,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BAD08>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model DecisionTreeRegressor10,-1.6752192379671214,0.36216087026254434,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4E88>
