,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model LinearRegression and with post model Lasso,-6.272983700401187,1.3363631212124463,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DC0C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model LinearRegression,-6.404628982946869,1.249627956283284,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28AB108>
BiasRegressorC2 with inner model LinearRegression and with post model LinearRegression,-6.425715849042507,1.6810100274603375,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2840E08>
BiasRegressorC2 with inner model Ridge and with post model Lasso,-6.454954312154131,1.3350087175770862,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4148>
BiasRegressorC2 with inner model Ridge and with post model Ridge,-6.507629962039564,1.706770543528389,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B44C8>
BiasRegressorC2 with inner model Ridge and with post model ElasticNet,-6.5311764064909426,1.8119730777231269,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2408>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Lasso,-6.564274390639696,1.4556375141533713,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818848>
BiasRegressorC2 with inner model ElasticNet and with post model LinearRegression,-6.649573902321535,2.0834538627334753,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4988>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Lasso,-6.696221800176613,1.239767644151045,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BA6C8>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model Ridge,-6.704362114131257,1.5573851892735768,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BC5C8>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Lasso,-6.714429159827158,1.3475829255698777,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892348>
BiasRegressorC2 with inner model LinearRegression and with post model ElasticNet,-6.71660539715244,1.3745380029981173,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CE08>
BiasRegressorC2 with inner model Ridge and with post model LinearRegression,-6.726766867730828,1.5468633528941007,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883C08>
BiasRegressorC2 with inner model ElasticNet and with post model Ridge,-6.75686855968776,1.0666550261189915,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892A08>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor10,-6.78346377547239,1.9152291268637531,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D308>
BiasRegressorC2 with inner model LinearRegression and with post model Ridge,-6.7891751396255575,1.464610522428113,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2888>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model Ridge,-6.791759637217813,1.2373977181014257,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4C88>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model ElasticNet,-6.79258806657233,1.8222256892467699,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28892C8>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model ElasticNet,-6.806620163559103,1.3464936322992016,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BAC08>
BiasRegressorC2 with inner model ElasticNet and with post model Lasso,-6.810196466482398,1.972978170351147,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BC308>
BiasRegressorC2 with inner model Lasso and with post model Ridge,-6.832447957423907,1.486430262406071,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4608>
BiasRegressorC2 with inner model RandomForestRegressorNone10 and with post model LinearRegression,-6.846301976141251,1.4725317053460603,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896848>
BiasRegressorC2 with inner model Lasso and with post model LinearRegression,-6.8547214284109375,1.7393292406075511,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BC7C8>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-6.875476237587614,1.6273304970154945,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D948>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Ridge,-6.889392780321418,1.3676048602278719,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4688>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor5,-6.906266819881225,1.2744528713128125,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D408>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model LinearRegression,-6.906728567121516,1.220980410858523,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B20C8>
BiasRegressorC2 with inner model Lasso and with post model ElasticNet,-6.915424082528105,1.4868742904287262,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288DAC8>
BiasRegressorC2 with inner model Lasso and with post model Lasso,-6.92446918333525,1.258680018529371,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BC3C8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model LinearRegression,-6.945159797864074,2.0807550513148407,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818808>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model Lasso,-6.956788637103564,0.7881657520348365,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D282E1C8>
BiasRegressorC2 with inner model RandomForestRegressorNone5 and with post model ElasticNet,-6.969493805599501,1.3303667626704774,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896AC8>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-6.983670891853919,1.4110597738730783,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D988>
BiasRegressorC2 with inner model ElasticNet and with post model ElasticNet,-7.00149350471541,0.8372932543905292,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892448>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model Ridge,-7.007737799648096,1.7180760763354932,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B48C8>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone10,-7.122197642685921,2.366562983822123,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896FC8>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model RandomForestRegressorNone5,-7.156215619033072,1.9081920788569762,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D288D448>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model ElasticNet,-7.3358843675342085,1.339439033725082,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B4188>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone5,-7.449655988372169,1.2155447248214024,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2896648>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor10,-7.6098959749356,2.0821261595445018,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2883448>
BiasRegressorC2 with inner model DecisionTreeRegressor5 and with post model DecisionTreeRegressor5,-7.807571731070324,1.3608868495844095,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2820288>
BiasRegressorC2 with inner model DecisionTreeRegressor10 and with post model RandomForestRegressorNone10,-7.985423174300861,1.7585587740063544,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28BA408>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor5,-8.009050654776937,1.5299629594146258,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28927C8>
