,RMSE_MEAN,RMSE_STD,MODEL_CLASS
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor5,-47.361018039592764,7.9642914423597535,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2748>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone10,-47.66706297742827,10.789304856645085,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DCBC8>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor5,-47.979834993289586,7.340617302328999,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D279AE88>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone10,-47.981162528332746,9.745789906703536,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F4C08>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone5,-48.05510984038406,9.049755108172397,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28B2708>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone10,-48.059688588369085,9.373524044221668,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27D77C8>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor5,-48.27300098860796,6.762633624975358,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F3848>
BiasRegressorC2 with inner model LinearRegression and with post model RandomForestRegressorNone5,-48.39247469828079,8.652123673278641,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27F5A88>
BiasRegressorC2 with inner model ElasticNet and with post model RandomForestRegressorNone5,-48.489666662849274,8.278711639737615,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2816F48>
BiasRegressorC2 with inner model Ridge and with post model RandomForestRegressorNone10,-48.86825227319723,8.225430320157052,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D287E288>
BiasRegressorC2 with inner model Lasso and with post model RandomForestRegressorNone5,-48.87584483582143,7.507795955156006,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F608>
BiasRegressorC2 with inner model Lasso and with post model DecisionTreeRegressor10,-49.324094957532445,10.360291907334922,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27FF948>
BiasRegressorC2 with inner model ElasticNet and with post model DecisionTreeRegressor10,-49.42212654727708,10.7092194037092,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28AB988>
BiasRegressorC2 with inner model Ridge and with post model DecisionTreeRegressor10,-49.43236260718652,10.347326682763367,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2818908>
BiasRegressorC2 with inner model LinearRegression and with post model DecisionTreeRegressor10,-49.73824390464104,10.222507653819267,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27C74C8>
BiasRegressorC2 with inner model Ridge and with post model LinearRegression,-53.85954517704458,24.25253490178711,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D281F548>
BiasRegressorC2 with inner model ElasticNet and with post model ElasticNet,-55.31428667204003,20.436216843178997,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2892888>
BiasRegressorC2 with inner model LinearRegression and with post model LinearRegression,-56.273380208718706,17.947183328413473,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DA948>
BiasRegressorC2 with inner model Lasso and with post model Ridge,-56.48414525241874,17.35401168139734,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CFC8>
BiasRegressorC2 with inner model LinearRegression and with post model Lasso,-56.67029213061047,16.495581803679347,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27ECA08>
BiasRegressorC2 with inner model Lasso and with post model LinearRegression,-56.77478741364534,16.241581145852237,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28970C8>
BiasRegressorC2 with inner model LinearRegression and with post model ElasticNet,-57.12228677667993,14.944185928374964,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2809DC8>
BiasRegressorC2 with inner model ElasticNet and with post model Lasso,-57.40622246038921,13.874814310392257,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27DC308>
BiasRegressorC2 with inner model Ridge and with post model Lasso,-57.5832366026829,13.201866105792359,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2811748>
BiasRegressorC2 with inner model Ridge and with post model ElasticNet,-57.594012637638684,12.962465526123163,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28971C8>
BiasRegressorC2 with inner model Lasso and with post model ElasticNet,-57.76181586347268,12.17586644823499,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28AB048>
BiasRegressorC2 with inner model Lasso and with post model Lasso,-58.03291257449966,10.852727345592989,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D2813348>
BiasRegressorC2 with inner model LinearRegression and with post model Ridge,-58.20442088075115,10.014839763935568,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D27FDAC8>
BiasRegressorC2 with inner model Ridge and with post model Ridge,-58.41349867385369,8.851662563263261,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D289CF08>
BiasRegressorC2 with inner model ElasticNet and with post model Ridge,-58.41866341791747,8.739945830959998,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D280E6C8>
BiasRegressorC2 with inner model ElasticNet and with post model LinearRegression,-58.65696950383701,6.922572741270123,<biaswrappers.regressor.BiasRegressorC2 object at 0x00000216D28AB948>
