,RMSE_SUM
RandomForestRegressorNone10,-2163.7876651783104
LinearRegression,-2304.0776655433597
Lasso,-2320.4842375047765
RandomForestRegressorNone5,-2346.8671627110507
DecisionTreeRegressor5,-2361.6765864013396
DecisionTreeRegressor10,-2388.750703495135
Ridge,-2547.5903536214546
ElasticNet,-3924.939195857916
