,RMSE_SUM
RandomForestRegressorNone5,-2438.450040374403
ElasticNet,-2496.2283465802543
RandomForestRegressorNone10,-2502.80788697148
Lasso,-2518.3037149018514
Ridge,-2526.3516884403693
LinearRegression,-2540.9771439415763
DecisionTreeRegressor5,-2612.8457311783422
DecisionTreeRegressor10,-2722.209017925066
