,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
ElasticNet,282.3526442871024,306.22371830308356,281.3104541841251,277.37388045636436
DecisionTreeRegressor3,158.8849873996862,244.60561250793876,153.24478488001338,160.85690892618933
Ridge,140.98805440080167,279.9704682946613,137.03210469249143,129.6000450709348
DecisionTreeRegressor5,136.9431232154633,262.5183547562073,118.85118813517788,125.31265105062384
LinearRegression,132.44574465750833,161.24591333141106,129.54465629150144,122.04676614886255
Lasso,130.14142439180856,164.5169709771065,126.10979550656796,129.42745091511182
RandomForestRegressorNone10,124.4875163243612,211.7441515644429,76.45906144969625,84.34922286612199
RandomForestRegressorNone3,124.03714130396868,236.5756524587639,96.9066032645367,91.68165699804351
DecisionTreeRegressor10,121.84541597935251,268.13940687108357,118.73500004236806,112.863259495383
RandomForestRegressorNone5,109.35654877833554,214.4708371392509,81.518628668769,88.38882206755326
