,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
DecisionTreeRegressor10,1.6852574397430533,1.1216446698574638,1.4316169119580118,1.4959744378197262
DecisionTreeRegressor5,1.6285027876966676,1.1154442887113032,1.3913109408179418,1.313246145292732
DecisionTreeRegressor3,1.5154096827245926,1.039609709265265,1.5768330270480484,1.1809039329028657
RandomForestRegressorNone10,1.3852938049767052,1.266750974145525,1.3613070391883015,1.1545472934345817
RandomForestRegressorNone5,1.3749929025705172,1.3204482830741988,1.3804715723191514,1.1993588481961206
Lasso,1.3305225163947827,1.038099192195252,1.1422540297204693,1.0603504613987182
ElasticNet,1.3282493429498212,1.0547603848445584,1.2050634130238296,1.0670429705112758
RandomForestRegressorNone3,1.313600296642481,1.268241805224875,1.3784342476028786,1.2946183825428972
Ridge,1.2552623301064179,1.0755087874788027,1.2948171703105351,1.0386587873628816
LinearRegression,1.2366035195625562,1.0410801236519742,1.0920676268157865,1.0349294491430032
